customer_state,seller_state,avg_delay_days
MA,BA,134
AM,CE,104
AP,SP,72
AL,AM,38
SE,MG,38
RR,SP,36
RJ,GO,31
PI,MG,31
ES,MG,29
CE,PR,28
PA,ES,25
AC,BA,24
RJ,CE,23
GO,SC,22
BA,DF,22
PB,MA,22
DF,RS,22
RN,RJ,21
CE,RJ,21
BA,SC,21
CE,RN,20
PA,MG,19
BA,MG,19
CE,DF,19
DF,RJ,18
PA,RJ,18
GO,MG,17
CE,SC,16
RJ,ES,16
AC,SP,16
MT,PR,16
PE,BA,16
CE,PE,15
ES,PR,15
PA,SC,15
RN,DF,15
PI,CE,15
BA,PR,15
RN,PR,15
CE,MA,15
SP,RS,14
SE,DF,14
BA,RJ,14
PE,MA,14
MA,RS,14
RJ,DF,14
SE,SP,14
SC,ES,14
RJ,SC,14
RJ,PR,13
PR,GO,13
PB,SC,13
PI,SP,12
PE,MG,12
GO,PR,12
PB,PR,12
RN,SP,12
RJ,SP,12
MA,RJ,12
CE,SP,12
SC,RJ,12
SE,RS,12
BA,BA,12
CE,MG,11
ES,MA,11
MT,SC,11
PB,MG,11
PE,SP,11
RS,DF,11
RJ,MG,11
RS,MG,11
PE,RS,11
RJ,RS,11
RJ,BA,11
MT,SP,10
PE,GO,10
AL,PR,10
SC,PR,10
RS,SP,10
SE,MA,10
DF,MG,10
RS,ES,10
PR,RS,10
PA,SP,10
RJ,PE,10
MT,MG,10
RN,BA,10
CE,BA,10
SP,PR,9
RS,RJ,9
RS,BA,9
GO,SP,9
AL,RJ,9
BA,SP,9
SP,SC,9
BA,MS,9
RS,GO,9
MG,PR,9
PE,MT,9
RS,MA,9
RO,RJ,9
DF,PR,9
PE,PR,9
SP,PE,9
PB,SP,9
PR,RJ,9
RJ,MA,9
MG,SC,9
SP,RJ,9
SP,MG,9
AL,SP,8
PE,RJ,8
RS,PE,8
MG,RJ,8
DF,PE,8
PI,SC,8
GO,RJ,8
RS,PR,8
RJ,RJ,8
MG,MG,8
MA,SP,8
MT,RS,8
ES,SP,8
SC,SP,8
ES,SC,7
GO,MA,7
PR,RN,7
MA,MG,7
MS,SP,7
PA,PR,7
MA,SC,7
BA,RS,7
MA,PR,7
SP,DF,7
SP,ES,7
SC,MG,7
PR,SP,7
PB,BA,7
ES,RJ,7
PE,SC,7
MS,MG,7
MG,SP,6
MS,SC,6
RO,SP,6
RS,SC,6
SP,MA,6
PR,SC,6
PI,RJ,6
TO,SP,6
SE,PR,6
AL,PE,6
SP,SP,6
PA,CE,6
DF,MA,5
DF,SP,5
PR,MG,5
SP,MS,5
SP,GO,5
AL,MG,5
TO,MG,5
PR,PE,5
PA,RS,5
PA,MA,5
SC,BA,5
PR,MA,5
SE,RJ,5
SP,CE,5
SC,SC,5
MT,DF,5
BA,MA,5
PA,BA,5
BA,RN,5
RN,SC,5
SE,SC,5
TO,PR,5
ES,ES,5
PB,DF,5
SC,DF,4
SP,MT,4
MG,MA,4
SP,BA,4
MS,RJ,4
RJ,MT,4
DF,DF,4
ES,RS,4
AL,MA,4
MS,PR,4
RS,RS,4
PB,GO,4
AM,SP,4
PI,MA,4
DF,GO,3
SC,MA,3
PE,CE,3
MT,RJ,3
PI,DF,3
SC,PE,2
PR,BA,2
SC,GO,2
CE,RS,2
MA,MA,2
PR,PR,2
PI,PE,2
ES,DF,2
RJ,PB,2
RS,RN,2
MG,RS,2
TO,RJ,1
TO,DF,1
MT,MA,1
PE,PE,1
MG,DF,1
SP,PA,0
BA,CE,0
TO,SC,0
DF,SC,0
PI,BA,0
CE,MT,0
MA,AM,0
PI,PR,0
TO,MA,0
GO,GO,0
MG,GO,0
BA,ES,0
MT,MS,0
AL,PB,0
AM,MG,0
GO,DF,0
